what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1343880288233
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1343880288233
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1343880288249
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1343880288264
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1343880288280
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1343880288295
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1343880288311
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1343880288311
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1343880288311
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1343880288327
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1343880288342
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1343880288358
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1343880288373
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1343880288389
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1343880288405
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1343880288436
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1343880288451
os,sysinfo,,,"win32",1343880288451
arch,sysinfo,,,"x86",1343880288451
ws,sysinfo,,,"win32",1343880288451
locale,sysinfo,,,"en_AU",1343880288451
processors,sysinfo,,,"2",1343880288451
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1343880288451
java.runtime.version,sysinfo,,,"1.6.0_33-b03",1343880288451
java.specification.name,sysinfo,,,"Java Platform API Specification",1343880288451
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1343880288451
java.specification.version,sysinfo,,,"1.6",1343880288451
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1343880288451
java.version,sysinfo,,,"1.6.0_33",1343880288451
java.vm.info,sysinfo,,,"mixed mode, sharing",1343880288451
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1343880288451
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1343880288451
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1343880288451
java.vm.specification.version,sysinfo,,,"1.0",1343880288451
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1343880288451
java.vm.version,sysinfo,,,"20.8-b03",1343880288451
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1343880289528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343880290043
